"Category","Solar Energy Yield Month "
"Jan",80415.92
"Feb",88573.65
"Mar",104485.5
"Apr",89640.94
"May",95059.56
"Jun",100165.77
"Jul",92549.42
"Aug",91112.29
"Sep",95655.3
"Oct",94183.4
"Nov",38441.94
"Dec",0.0
