Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-09-10,18:51:41,2.197,51.142,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-10,22:06:38,3.8331,89.264,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-10,23:56:01,2.7859,58.65,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-11,03:55:46,4.0466,79.608,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-11,11:08:50,7.6261,233.549,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-11,16:33:51,6.5768,192.42,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-11,16:42:04,2.3481,61.967,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-11,20:23:13,6.2586,164.103,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
2024-09-11,22:21:01,3.8358,91.039,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,07:46:53,3.3499,78.85,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,07:54:26,8.2694,200.883,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,08:24:32,2.1701,55.152,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,09:35:14,4.5523,132.869,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,09:46:44,9.5817,279.445,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,11:05:47,7.5954,206.713,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,15:42:36,2.8198,73.089,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-12,19:14:32,1.0481,4.07,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-13,05:20:40,3.9541,90.661,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-09-13,08:28:27,3.5246,91.748,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
