Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-07-01,15:34:59,63.8625,1274.53
2024-07-20,11:14:05,10.2565,328.023,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-20,23:29:40,3.1835,87.261,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-21,03:57:13,3.3918,73.5,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-21,08:43:28,5.2499,24.022,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-21,10:44:57,1.1305,0.0,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-21,11:14:52,1.1794,0.058,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-21,12:47:08,1.1924,5.219,"plc_grid_breaker_opened, pcsv_on, pcsv_not_fault"
2024-07-21,12:49:32,1.2763,5.646,"utility_grid_off, pcsv_off_grid_mode"
2024-07-21,13:50:31,11.1289,33.574,"plc_grid_breaker_opened, plc_battery_breaker_closed, pcsv_on"
2024-07-21,14:02:49,1.1503,0.0,"utility_grid_off, pcsv_off_grid_mode"
2024-07-21,14:05:11,1.1954,0.0,"utility_grid_off, pcsv_off_grid_mode"
2024-07-21,14:07:34,2.3767,4.509,"utility_grid_off, pcsv_not_fault"
2024-07-22,11:21:57,2.5824,76.641,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-22,19:17:31,5.1966,108.262,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-23,09:09:22,1.1146,0.0,pcsv_on
2024-07-23,16:08:27,4.3905,123.844,"pcsv_off_grid_majority_mode, pcsv_on, pcsv_not_fault"
2024-07-25,09:13:05,2.5995,51.719,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-25,10:47:29,2.5836,61.778,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-25,10:58:05,3.1684,72.901,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-25,17:07:22,2.7676,72.76,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-26,08:29:41,5.615,161.859,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-26,10:39:48,19.7489,355.38,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-26,16:03:15,4.4767,118.691,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-26,16:23:51,4.632,120.695,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-26,16:30:47,1.2051,0.0,"utility_grid_off, pcsv_off_grid_mode"
2024-07-26,16:33:11,23.7484,333.132,"utility_grid_off, pcsv_not_fault"
2024-07-26,18:29:55,7.2092,197.956,"pcsv_var_abnormal, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-07-27,06:18:15,3.6461,79.037,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-27,07:50:06,2.9823,80.475,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-27,11:27:48,3.0139,79.148,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-27,16:46:22,17.0524,305.139,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-27,18:55:15,1.1283,0.0,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-27,20:04:07,37.4969,556.288,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-28,05:14:13,1.1387,5.167,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-28,09:26:08,9.2856,38.015,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-28,10:14:01,5.2668,23.076,"plc_grid_breaker_opened, utility_grid_off, pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-28,10:20:29,1.1862,3.215,"utility_grid_off, pcsv_off_grid_mode"
2024-07-28,10:22:51,1.0793,1.899,"utility_grid_off, pcsv_off_grid_mode"
2024-07-28,10:52:51,5.1303,20.366,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-28,11:37:32,6.7933,24.267,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-28,12:50:30,20.3306,87.489,
2024-07-28,13:11:46,5.9235,28.964,"plc_battery_breaker_closed, pcsv_on"
2024-07-28,13:23:47,250.2267,132.111,
2024-07-28,17:50:50,6.197,25.32,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-07-29,00:30:49,4.3196,24.221,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-29,14:32:34,11.8737,378.935,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-29,20:41:44,8.9126,129.244,"plc_grid_breaker_opened, utility_grid_off, utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-29,22:29:30,5.404,97.775,"pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-07-29,23:04:15,2.4575,34.334,"pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-07-30,12:19:51,7.1034,126.763,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
2024-07-30,12:37:11,1.1198,0.0,"utility_grid_off, utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-30,12:39:31,53.3162,1123.096,"utility_grid_off, pcsv_off_grid_mode"
2024-07-30,13:46:35,10.3112,154.761,"utility_grid_off, pcsv_not_fault, pcsv_on"
2024-07-30,13:59:49,1.7522,29.513,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-30,14:04:49,8.9224,192.12,"utility_grid_off, pcsv_not_fault, pcsv_on"
2024-07-30,15:20:51,3.4576,100.277,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-30,16:36:04,6.3403,177.542,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-30,19:33:34,3.4714,106.97,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-30,20:45:30,2.6641,70.469,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-30,23:34:30,1.1261,0.0,"utility_grid_off, pcsv_not_fault, pcsv_on"
2024-07-30,23:53:58,8.2739,108.603,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-31,08:32:24,1.1956,0.234,"pcsv_off_grid_majority_mode, pcsv_not_fault, pcsv_on"
2024-07-31,12:57:41,35.719,736.388,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-31,13:45:15,2.3651,34.86,"utility_grid_frequency_abnormal, pcsv_not_fault, pcsv_on"
2024-07-31,17:54:18,3.6043,79.049,"utility_grid_off, pcsv_not_fault, pcsv_on"
2024-07-31,18:28:49,8.5574,171.998,"utility_grid_off, pcsv_not_fault, pcsv_on"
,,,
,,Total savings,18120.152999999995
