"Category","Grid Energy Yield Month","Genset Energy Yield Month"
"Jan",572189.57,0
"Feb",715801.97,0
"Mar",862136.07,0
"Apr",727797.77,0
"May",572189.57,0
"Jun",715801.97,0
"Jul",862136.07,0
"Aug",727797.77,0
"Sep",684857.07,0
"Oct",705304.57,0
"Nov",280982.53,0
"Dec",0,0
