Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-09-20,08:45:46,9.4956,234.341
2024-09-20,09:45:48,2.6482,49.159
2024-09-20,11:00:26,1.7788,21.755
2024-09-20,11:53:13,5.0056,138.279
2024-09-20,13:30:36,7.9265,212.903
2024-09-20,17:09:30,8.6198,222.615
2024-09-20,17:30:34,11.9264,324.254
2024-09-20,17:46:45,2.5205,65.028
2024-09-20,19:19:08,2.3775,45.754
2024-09-20,19:48:52,8.2699,109.926
2024-09-20,23:16:06,3.5038,79.471
2024-09-21,03:35:27,11.9931,281.934
2024-09-21,05:01:27,13.5409,319.704
2024-09-21,05:46:21,4.382,106.116
2024-09-21,06:40:32,3.9733,87.461
2024-09-21,08:10:01,1.1522,23.096
2024-09-21,09:00:38,3.702,83.204
2024-09-21,10:43:55,4.7797,142.35
2024-09-21,11:37:33,2.9995,85.299
2024-09-21,12:55:03,1.1215,0.0
2024-09-21,15:13:29,1.9106,45.084
2024-09-21,18:10:37,7.3983,112.384
2024-09-21,20:04:22,3.8759,104.438
2024-09-21,20:12:00,2.6022,64.831
2024-09-21,20:25:01,3.1056,71.85
2024-09-21,20:41:34,5.8981,130.495
2024-09-22,00:55:12,5.3112,136.077
2024-09-22,01:32:43,2.6909,35.034
2024-09-22,05:48:43,3.5844,92.909
2024-09-22,08:35:37,2.1588,51.553
2024-09-22,09:21:02,8.72,191.07
2024-09-22,09:35:50,2.2093,43.327
2024-09-22,11:17:06,8.3593,188.18
2024-09-22,14:35:38,4.251,91.742
2024-09-22,16:21:22,3.0994,49.409
2024-09-22,18:05:47,2.4839,34.209
2024-09-22,18:36:53,2.0721,24.21
2024-09-22,21:48:34,6.5417,6.309
2024-09-23,05:42:29,2.6712,9.067
2024-09-23,06:09:49,3.3325,9.469
2024-09-23,06:21:51,3.8174,10.753
2024-09-23,07:53:34,3.1482,53.767
2024-09-23,12:19:05,3.6987,90.075
2024-09-23,13:16:21,2.919,70.356
2024-09-23,13:22:25,2.155,50.214
2024-09-23,13:53:00,5.7466,137.731
2024-09-23,14:03:13,6.3389,153.987
2024-09-23,14:12:58,2.0822,48.406
2024-09-23,14:23:21,2.2897,52.667
2024-09-23,14:53:43,5.6904,123.269
2024-09-23,15:52:59,2.9068,72.768
2024-09-23,16:29:41,2.1637,49.338
2024-09-23,18:01:20,3.7853,91.439
2024-09-23,18:33:46,4.0347,98.996
2024-09-23,18:55:09,9.1253,231.279
2024-09-23,19:22:31,2.9591,72.697
2024-09-23,19:31:23,5.6483,132.74
