Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-08-20,08:13:14,5.9022,160.031
2024-08-20,21:56:26,6.1967,148.906
2024-08-20,22:07:22,3.5184,87.733
2024-08-21,02:59:18,3.1476,70.339
2024-08-21,06:04:50,7.7534,167.936
2024-08-21,06:15:32,5.7165,124.907
2024-08-21,15:52:28,1.7955,43.77
2024-08-21,16:40:30,5.2776,146.944
2024-08-21,20:12:51,1.0898,0.0
2024-08-21,20:15:09,11.3237,140.412
2024-08-21,22:02:48,2.441,59.185
2024-08-22,04:10:55,2.79,55.455
2024-08-22,15:20:12,2.0589,55.201
2024-08-22,17:16:26,6.3529,159.749
2024-08-23,01:44:21,3.4537,78.797
2024-08-23,01:57:21,6.1572,138.95
2024-08-23,11:01:55,8.3704,248.014
2024-08-23,11:25:00,2.4363,71.751
2024-08-23,11:45:24,3.825,91.581
2024-08-23,17:00:50,6.0503,146.769
2024-08-23,19:22:34,5.5499,125.913
2024-08-23,21:27:36,8.5588,189.543
2024-08-23,22:27:06,2.7111,67.935
2024-08-24,10:20:20,2.8479,59.32
2024-08-25,04:51:38,10.2674,214.001
2024-08-25,12:23:43,10.4067,49.911
2024-08-25,14:02:27,8.1912,29.91
2024-08-25,14:17:15,4.4349,14.933
2024-08-25,18:42:50,3.6511,18.566
2024-08-25,21:52:01,3.3996,17.654
2024-08-26,00:38:23,2.3263,13.104
2024-08-26,02:03:17,4.9375,26.423
2024-08-26,12:39:19,2.5522,68.127
2024-08-26,16:16:20,2.7901,79.686
2024-08-26,20:16:15,3.369,93.845
2024-08-27,02:57:26,2.6693,53.759
2024-08-27,09:15:50,3.7157,83.647
2024-08-27,09:50:32,3.9547,102.981
2024-08-27,10:35:12,10.8473,291.116
2024-08-27,10:52:49,3.9435,97.124
2024-08-27,11:39:36,6.7277,169.063
2024-08-28,04:03:06,4.4339,94.542
2024-08-28,04:48:01,1.178,0.0
2024-08-28,08:49:14,371.6484,3926.865
2024-08-28,15:02:05,222.5949,1866.998
2024-08-28,18:45:52,1.1335,0.0
2024-08-28,18:48:12,1.0655,0.0
2024-08-28,18:50:29,3.7345,0.0
2024-08-29,16:23:08,3.2044,87.232
2024-08-29,16:42:40,5.0232,141.655
2024-08-29,17:03:10,5.777,148.01
2024-08-29,17:27:24,16.0518,439.911
2024-08-29,18:19:43,2.7724,68.996
2024-08-29,19:03:15,3.3336,83.968
2024-08-30,04:06:48,3.4543,67.538
2024-08-30,13:00:28,6.5906,24.367
2024-08-30,13:14:05,4.302,17.825
2024-08-30,14:07:32,4.0678,16.728
2024-08-30,14:34:44,6.2659,25.803
2024-08-30,15:14:05,15.1126,61.304
2024-08-30,16:37:41,3.9047,15.514
2024-08-31,00:07:29,6.4356,7.749
2024-08-31,01:11:07,3.5657,4.004
2024-08-31,08:18:53,11.6032,27.237
2024-08-31,10:47:31,2.5393,9.774
2024-08-31,11:52:43,4.4969,14.652
2024-08-31,23:17:08,3.3444,2.787
