Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-07-30,14:04:49,8.9224,192.12
2024-07-30,15:20:51,3.4576,100.277
2024-07-30,16:36:04,6.3403,177.542
2024-07-30,19:33:34,3.4714,106.97
2024-07-30,20:45:30,2.6641,70.469
2024-07-30,23:34:30,1.1261,0.0
2024-07-30,23:53:58,8.2739,108.603
2024-07-31,08:32:24,1.1956,0.234
2024-07-31,12:57:41,35.719,736.388
2024-07-31,13:45:15,2.3651,34.86
2024-07-31,17:54:18,3.6043,79.049
2024-07-31,18:28:49,8.5574,171.998
